server_id,window_start,window_end,avg_cpu,avg_mem,alert
server_1,20:52:00,20:52:30,60.91,43.32,
server_1,20:52:10,20:52:40,48.07,40.84,
server_1,20:52:20,20:52:50,47.77,44.68,
server_1,20:52:30,20:53:00,50.91,42.46,
server_1,20:52:40,20:53:10,44.24,56.00,
server_1,20:52:50,20:53:20,51.30,53.51,
server_1,20:53:00,20:53:30,45.39,59.17,
server_1,20:53:10,20:53:40,59.06,54.08,
server_1,20:53:20,20:53:50,60.57,61.13,
server_1,20:53:30,20:54:00,62.74,62.44,
server_1,20:53:40,20:54:10,56.88,67.55,
server_1,20:53:50,20:54:20,49.35,61.03,
server_1,20:54:00,20:54:30,59.28,54.99,
server_1,20:54:10,20:54:40,67.04,57.66,
server_1,20:54:20,20:54:50,71.83,56.23,
server_1,20:54:30,20:55:00,66.35,65.54,
server_1,20:54:40,20:55:10,69.65,53.32,
server_1,20:54:50,20:55:20,58.28,48.56,
server_1,20:55:00,20:55:30,42.10,46.13,
server_1,20:55:10,20:55:40,21.99,53.16,
server_1,20:55:20,20:55:50,37.37,63.78,
server_1,20:55:30,20:56:00,54.70,58.02,
server_1,20:55:40,20:56:10,73.29,51.09,
server_1,20:55:50,20:56:20,54.95,48.65,
server_1,20:56:00,20:56:30,39.88,41.55,
server_1,20:56:10,20:56:40,29.63,39.99,
server_1,20:56:20,20:56:50,41.76,40.97,
server_1,20:56:30,20:57:00,49.57,63.16,
server_1,20:56:40,20:57:10,43.11,69.27,
server_1,20:56:50,20:57:20,44.12,67.43,
server_1,20:57:00,20:57:30,42.16,51.74,
server_1,20:57:10,20:57:40,49.96,47.08,
server_1,20:57:20,20:57:50,54.26,46.61,
server_1,20:57:30,20:58:00,65.99,45.15,
server_1,20:57:40,20:58:10,76.30,46.08,
server_1,20:57:50,20:58:20,65.72,43.76,
server_1,20:58:00,20:58:30,61.51,54.23,
server_1,20:58:10,20:58:40,51.10,52.22,
server_1,20:58:20,20:58:50,53.16,56.70,
server_1,20:58:30,20:59:00,47.49,47.21,
server_1,20:58:40,20:59:10,43.43,45.37,
server_1,20:58:50,20:59:20,39.31,35.97,
server_1,20:59:00,20:59:30,36.74,35.97,
server_1,20:59:10,20:59:40,39.98,38.94,
server_1,20:59:20,20:59:50,44.51,43.50,
server_1,20:59:30,21:00:00,61.27,46.73,
server_1,20:59:40,21:00:10,61.58,45.58,
server_1,20:59:50,21:00:20,57.04,45.01,
server_1,21:00:00,21:00:30,36.03,47.50,
server_1,21:00:10,21:00:40,35.99,53.25,
server_1,21:00:20,21:00:50,43.78,58.81,
server_1,21:00:30,21:01:00,48.80,55.05,
server_1,21:00:40,21:01:10,55.17,42.28,
server_1,21:00:50,21:01:20,59.04,51.05,
server_1,21:01:00,21:01:30,59.22,51.56,
server_1,21:01:10,21:01:40,51.04,57.42,
server_1,21:01:20,21:01:50,50.36,51.49,
server_1,21:01:30,21:02:00,48.24,57.40,
server_1,21:01:40,21:02:10,61.70,74.43,
server_1,21:01:50,21:02:20,50.08,75.91,
server_1,21:02:00,21:02:30,47.54,62.82,
server_1,21:02:10,21:02:40,39.08,51.99,
server_1,21:02:20,21:02:50,50.76,38.47,
server_1,21:02:30,21:03:00,61.21,51.82,
server_1,21:02:40,21:03:10,65.68,47.70,
server_1,21:02:50,21:03:20,56.41,64.29,
server_1,21:03:00,21:03:30,60.63,61.65,
server_1,21:03:10,21:03:40,55.62,78.30,
server_1,21:03:20,21:03:50,62.06,76.04,
server_1,21:03:30,21:04:00,53.72,71.83,
server_1,21:03:40,21:04:10,54.67,68.02,
