server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_1,20:52:00,20:52:30,868.99,91.18,
server_1,20:52:10,20:52:40,701.34,9516.87,Disk thrash suspected
server_1,20:52:20,20:52:50,966.36,9516.87,Disk thrash suspected
server_1,20:52:30,20:53:00,1000.15,9516.87,Disk thrash suspected
server_1,20:52:40,20:53:10,1000.15,112.58,
server_1,20:52:50,20:53:20,1000.15,122.01,
server_1,20:53:00,20:53:30,865.60,127.05,
server_1,20:53:10,20:53:40,884.63,127.05,
server_1,20:53:20,20:53:50,17242.31,159.64,Possible DDoS
server_1,20:53:30,20:54:00,17242.31,1598.34,Network flood + Disk thrash suspected
server_1,20:53:40,20:54:10,17242.31,1598.34,Network flood + Disk thrash suspected
server_1,20:53:50,20:54:20,16926.61,3356.06,Network flood + Disk thrash suspected
server_1,20:54:00,20:54:30,16926.61,3356.06,Network flood + Disk thrash suspected
server_1,20:54:10,20:54:40,16926.61,3356.06,Network flood + Disk thrash suspected
server_1,20:54:20,20:54:50,10624.13,1401.40,Possible DDoS
server_1,20:54:30,20:55:00,10624.13,943.26,Possible DDoS
server_1,20:54:40,20:55:10,10624.13,814.67,Possible DDoS
server_1,20:54:50,20:55:20,1992.05,5924.12,Disk thrash suspected
server_1,20:55:00,20:55:30,1992.05,5924.12,Disk thrash suspected
server_1,20:55:10,20:55:40,313.14,5924.12,Disk thrash suspected
server_1,20:55:20,20:55:50,2873.99,5789.67,Disk thrash suspected
server_1,20:55:30,20:56:00,2873.99,782.12,
server_1,20:55:40,20:56:10,2873.99,813.93,
server_1,20:55:50,20:56:20,1541.00,813.93,
server_1,20:56:00,20:56:30,1541.00,9860.58,Disk thrash suspected
server_1,20:56:10,20:56:40,555.70,9860.58,Disk thrash suspected
server_1,20:56:20,20:56:50,1024.41,9860.58,Disk thrash suspected
server_1,20:56:30,20:57:00,1024.41,8112.76,Disk thrash suspected
server_1,20:56:40,20:57:10,1024.41,8112.76,Disk thrash suspected
server_1,20:56:50,20:57:20,945.51,8050.56,Disk thrash suspected
server_1,20:57:00,20:57:30,903.68,8050.56,Disk thrash suspected
server_1,20:57:10,20:57:40,903.68,8514.54,Disk thrash suspected
server_1,20:57:20,20:57:50,14612.95,8514.54,Network flood + Disk thrash suspected
server_1,20:57:30,20:58:00,14612.95,8514.54,Network flood + Disk thrash suspected
server_1,20:57:40,20:58:10,14612.95,196.15,Possible DDoS
server_1,20:57:50,20:58:20,3069.54,828.17,
server_1,20:58:00,20:58:30,3069.54,828.17,
server_1,20:58:10,20:58:40,18027.83,828.17,Possible DDoS
server_1,20:58:20,20:58:50,18027.83,1444.31,Possible DDoS
server_1,20:58:30,20:59:00,18027.83,1444.31,Possible DDoS
server_1,20:58:40,20:59:10,8688.51,5789.96,Network flood + Disk thrash suspected
server_1,20:58:50,20:59:20,8688.51,7943.99,Network flood + Disk thrash suspected
server_1,20:59:00,20:59:30,354.86,7943.99,Disk thrash suspected
server_1,20:59:10,20:59:40,498.64,7943.99,Disk thrash suspected
server_1,20:59:20,20:59:50,3316.47,1571.87,Network flood + Disk thrash suspected
server_1,20:59:30,21:00:00,3316.47,1571.87,Network flood + Disk thrash suspected
server_1,20:59:40,21:00:10,15502.76,4889.02,Network flood + Disk thrash suspected
server_1,20:59:50,21:00:20,15502.76,4889.02,Network flood + Disk thrash suspected
server_1,21:00:00,21:00:30,15502.76,6001.44,Network flood + Disk thrash suspected
server_1,21:00:10,21:00:40,642.01,6001.44,Disk thrash suspected
server_1,21:00:20,21:00:50,18680.28,6001.44,Network flood + Disk thrash suspected
server_1,21:00:30,21:01:00,18680.28,3202.34,Network flood + Disk thrash suspected
server_1,21:00:40,21:01:10,18680.28,3202.34,Network flood + Disk thrash suspected
server_1,21:00:50,21:01:20,3097.70,3202.34,Disk thrash suspected
server_1,21:01:00,21:01:30,7460.80,168.54,Possible DDoS
server_1,21:01:10,21:01:40,19701.32,168.54,Possible DDoS
server_1,21:01:20,21:01:50,19701.32,1811.20,Network flood + Disk thrash suspected
server_1,21:01:30,21:02:00,19701.32,1811.20,Network flood + Disk thrash suspected
server_1,21:01:40,21:02:10,12631.16,1811.20,Network flood + Disk thrash suspected
server_1,21:01:50,21:02:20,12631.16,104.88,Possible DDoS
server_1,21:02:00,21:02:30,1007.68,104.88,
server_1,21:02:10,21:02:40,16115.96,104.88,Possible DDoS
server_1,21:02:20,21:02:50,16115.96,80.66,Possible DDoS
server_1,21:02:30,21:03:00,16115.96,80.66,Possible DDoS
server_1,21:02:40,21:03:10,13949.79,172.89,Possible DDoS
server_1,21:02:50,21:03:20,13949.79,172.89,Possible DDoS
server_1,21:03:00,21:03:30,13949.79,172.89,Possible DDoS
server_1,21:03:10,21:03:40,9101.31,130.51,Possible DDoS
server_1,21:03:20,21:03:50,9101.31,1389.70,Possible DDoS
server_1,21:03:30,21:04:00,16257.50,1389.70,Possible DDoS
server_1,21:03:40,21:04:10,16257.50,1389.70,Possible DDoS
server_1,21:03:50,21:04:20,16257.50,43.18,Possible DDoS
server_1,21:04:00,21:04:30,956.32,70.41,
server_1,21:04:10,21:04:40,956.32,92.23,
server_1,21:04:20,21:04:50,956.32,185.50,
server_1,21:04:30,21:05:00,647.26,3433.85,Disk thrash suspected
server_1,21:04:40,21:05:10,981.80,3433.85,Disk thrash suspected
server_1,21:04:50,21:05:20,981.80,3433.85,Disk thrash suspected
server_1,21:05:00,21:05:30,981.80,70.30,
server_1,21:05:10,21:05:40,927.32,94.95,
server_1,21:05:20,21:05:50,940.78,6249.17,Disk thrash suspected
server_1,21:05:30,21:06:00,940.78,7416.85,Disk thrash suspected
server_1,21:05:40,21:06:10,940.78,7416.85,Disk thrash suspected
server_1,21:05:50,21:06:20,938.70,7612.73,Disk thrash suspected
server_1,21:06:00,21:06:30,8632.40,7612.73,Network flood + Disk thrash suspected
server_1,21:06:10,21:06:40,8632.40,7612.73,Network flood + Disk thrash suspected
server_1,21:06:20,21:06:50,8632.40,1435.74,Possible DDoS
server_1,21:06:30,21:07:00,7310.40,4797.50,Network flood + Disk thrash suspected
server_1,21:06:40,21:07:10,17801.97,4797.50,Network flood + Disk thrash suspected
server_1,21:06:50,21:07:20,17801.97,4797.50,Network flood + Disk thrash suspected
server_1,21:07:00,21:07:30,17801.97,1126.58,Possible DDoS
server_1,21:07:10,21:07:40,1587.96,708.41,
server_1,21:07:20,21:07:50,999.69,107.02,
server_1,21:07:30,21:08:00,10005.03,103.38,Possible DDoS
server_1,21:07:40,21:08:10,10005.03,103.38,Possible DDoS
server_1,21:07:50,21:08:20,10005.03,1970.68,Network flood + Disk thrash suspected
server_1,21:08:00,21:08:30,3138.99,1970.68,Disk thrash suspected
server_1,21:08:10,21:08:40,16718.23,1970.68,Network flood + Disk thrash suspected
server_1,21:08:20,21:08:50,16718.23,168.31,Possible DDoS
server_1,21:08:30,21:09:00,16718.23,168.31,Possible DDoS
server_1,21:08:40,21:09:10,850.47,6956.75,Disk thrash suspected
server_1,21:08:50,21:09:20,850.47,6956.75,Disk thrash suspected
server_1,21:09:00,21:09:30,11763.04,6956.75,Network flood + Disk thrash suspected
server_1,21:09:10,21:09:40,11763.04,599.88,Possible DDoS
server_1,21:09:20,21:09:50,11763.04,599.88,Possible DDoS
server_1,21:09:30,21:10:00,7707.16,8888.79,Network flood + Disk thrash suspected
server_1,21:09:40,21:10:10,2336.30,8888.79,Disk thrash suspected
server_1,21:09:50,21:10:20,2336.30,8888.79,Disk thrash suspected
server_1,21:10:00,21:10:30,2336.30,1043.23,
server_1,21:10:10,21:10:40,11738.55,173.67,Possible DDoS
server_1,21:10:20,21:10:50,11738.55,3498.48,Network flood + Disk thrash suspected
server_1,21:10:30,21:11:00,11738.55,3498.48,Network flood + Disk thrash suspected
server_1,21:10:40,21:11:10,932.08,8007.37,Disk thrash suspected
server_1,21:10:50,21:11:20,932.08,8007.37,Disk thrash suspected
server_1,21:11:00,21:11:30,932.08,8007.37,Disk thrash suspected
server_1,21:11:10,21:11:40,862.98,109.70,
server_1,21:11:20,21:11:50,862.98,178.67,
server_1,21:11:30,21:12:00,938.95,178.67,
server_1,21:11:40,21:12:10,938.95,178.67,
server_1,21:11:50,21:12:20,938.95,104.00,
server_1,21:12:00,21:12:30,849.99,120.34,
server_1,21:12:10,21:12:40,849.99,120.34,
server_1,21:12:20,21:12:50,1865.66,1955.98,Disk thrash suspected
server_1,21:12:30,21:13:00,1865.66,1955.98,Disk thrash suspected
server_1,21:12:40,21:13:10,1865.66,3857.49,Disk thrash suspected
server_1,21:12:50,21:13:20,878.55,3857.49,Disk thrash suspected
server_1,21:13:00,21:13:30,878.55,3857.49,Disk thrash suspected
server_1,21:13:10,21:13:40,912.80,118.67,
server_1,21:13:20,21:13:50,912.80,6007.80,Disk thrash suspected
server_1,21:13:30,21:14:00,912.80,6007.80,Disk thrash suspected
server_1,21:13:40,21:14:10,534.96,6007.80,Disk thrash suspected
server_1,21:13:50,21:14:20,3846.00,906.02,Possible DDoS
server_1,21:14:00,21:14:30,8943.54,906.02,Possible DDoS
server_1,21:14:10,21:14:40,8943.54,906.02,Possible DDoS
server_1,21:14:20,21:14:50,8943.54,185.51,Possible DDoS
server_1,21:14:30,21:15:00,3695.03,977.12,Possible DDoS
server_1,21:14:40,21:15:10,3695.03,977.12,Possible DDoS
server_1,21:14:50,21:15:20,3695.03,8528.46,Network flood + Disk thrash suspected
server_1,21:15:00,21:15:30,942.42,8528.46,Disk thrash suspected
server_1,21:15:10,21:15:40,902.40,8528.46,Disk thrash suspected
server_1,21:15:20,21:15:50,926.24,89.17,
server_1,21:15:30,21:16:00,926.24,7807.49,Disk thrash suspected
server_1,21:15:40,21:16:10,930.31,7807.49,Disk thrash suspected
server_1,21:15:50,21:16:20,2290.43,7807.49,Disk thrash suspected
server_1,21:16:00,21:16:30,2290.43,983.44,
server_1,21:16:10,21:16:40,2290.43,983.44,
server_1,21:16:20,21:16:50,976.21,96.29,
server_1,21:16:30,21:17:00,862.06,6160.13,Disk thrash suspected
server_1,21:16:40,21:17:10,4051.97,7918.57,Network flood + Disk thrash suspected
server_1,21:16:50,21:17:20,4051.97,7918.57,Network flood + Disk thrash suspected
server_1,21:17:00,21:17:30,4051.97,7918.57,Network flood + Disk thrash suspected
server_1,21:17:10,21:17:40,868.03,4532.88,Disk thrash suspected
server_1,21:17:20,21:17:50,868.03,4532.88,Disk thrash suspected
server_1,21:17:30,21:18:00,1000.89,4532.88,Disk thrash suspected
server_1,21:17:40,21:18:10,1000.89,120.40,
server_1,21:17:50,21:18:20,1000.89,120.40,
server_1,21:18:00,21:18:30,932.29,120.40,
server_1,21:18:10,21:18:40,3176.60,1407.51,
server_1,21:18:20,21:18:50,3176.60,3456.17,Disk thrash suspected
server_1,21:18:30,21:19:00,3177.05,3456.17,Disk thrash suspected
server_1,21:18:40,21:19:10,18533.97,7738.54,Network flood + Disk thrash suspected
server_1,21:18:50,21:19:20,18533.97,7738.54,Network flood + Disk thrash suspected
server_1,21:19:00,21:19:30,18533.97,7738.54,Network flood + Disk thrash suspected
server_1,21:19:10,21:19:40,14688.83,957.95,Possible DDoS
server_1,21:19:20,21:19:50,3445.84,1987.91,Network flood + Disk thrash suspected
server_1,21:19:30,21:20:00,3445.84,1987.91,Network flood + Disk thrash suspected
server_1,21:19:40,21:20:10,3445.84,8053.07,Network flood + Disk thrash suspected
server_1,21:19:50,21:20:20,453.69,8053.07,Disk thrash suspected
server_1,21:20:00,21:20:30,453.69,8053.07,Disk thrash suspected
server_1,21:20:10,21:20:40,453.69,80.63,
server_1,21:20:20,21:20:50,6300.38,185.13,Possible DDoS
server_1,21:20:30,21:21:00,6300.38,7266.47,Network flood + Disk thrash suspected
server_1,21:20:40,21:21:10,6300.38,7266.47,Network flood + Disk thrash suspected
server_1,21:20:50,21:21:20,3630.86,7266.47,Network flood + Disk thrash suspected
server_1,21:21:00,21:21:30,12962.42,720.46,Possible DDoS
server_1,21:21:10,21:21:40,12962.42,9734.28,Network flood + Disk thrash suspected
server_1,21:21:20,21:21:50,12962.42,9734.28,Network flood + Disk thrash suspected
server_1,21:21:30,21:22:00,556.63,9734.28,Disk thrash suspected
