ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:52:00,server_1,88.93,7.23,868.99,719.93,88.65
20:52:00,server_20,44.65,27.62,54.08,72.15,5627.61
20:52:00,server_19,12.88,89.89,122.47,89.01,11.47
20:52:00,server_18,90.35,98.92,840.59,1207.53,79.73
20:52:00,server_17,49.37,53.41,552.88,793.68,153.68
20:52:00,server_16,22.38,10.4,203.05,295.33,0.0
20:52:00,server_14,26.76,91.36,253.68,362.6,71.41
20:52:00,server_13,21.08,30.87,138.03,69.79,119.9
20:52:00,server_12,43.41,47.0,492.47,352.04,79.21
20:52:00,server_11,60.57,35.05,10834.39,12261.83,180.27
20:52:00,server_15,25.1,99.52,295.71,397.83,71.64
20:52:00,server_9,41.41,67.79,4804.69,5095.7,1944.66
20:52:00,server_8,64.38,57.67,666.55,492.51,58.31
20:52:00,server_7,87.51,17.67,894.78,533.67,0.0
20:52:00,server_6,23.58,22.77,181.6,94.91,3402.34
20:52:00,server_5,97.31,6.82,937.4,477.29,60.75
20:52:00,server_4,49.48,21.56,56.59,67.45,5754.48
20:52:00,server_3,85.84,99.01,822.79,861.46,79.7
20:52:00,server_2,41.64,53.92,424.8,381.41,14.63
20:52:00,server_10,20.17,25.93,92.93,76.29,8282.68
20:52:05,server_13,44.41,39.61,451.04,584.19,102.18
20:52:05,server_14,48.39,62.63,507.4,421.32,74.94
20:52:05,server_15,29.21,38.87,283.73,409.94,72.04
20:52:05,server_16,70.25,47.58,16309.32,19508.48,62.93
20:52:05,server_20,86.41,91.22,826.89,1097.41,67.0
20:52:05,server_18,54.95,60.98,638.01,778.28,0.0
20:52:05,server_19,63.08,41.12,13283.04,14979.99,37.16
20:52:05,server_12,57.12,52.24,525.26,616.45,77.44
20:52:05,server_17,98.98,83.67,1012.19,1265.46,56.01
20:52:05,server_11,69.2,57.39,744.38,443.78,89.96
20:52:05,server_5,47.23,48.1,409.09,297.87,0.0
20:52:05,server_9,25.84,51.97,301.71,205.78,132.91
20:52:05,server_10,9.65,90.33,106.43,97.07,108.89
20:52:05,server_2,95.81,23.31,949.09,1255.39,0.0
20:52:05,server_3,69.83,42.31,726.01,575.61,118.97
20:52:05,server_4,45.38,55.15,370.01,440.73,96.38
20:52:05,server_1,67.82,74.78,644.2,865.16,81.34
20:52:05,server_6,23.84,31.84,262.46,275.45,12.41
20:52:05,server_7,71.87,47.6,9654.25,9760.07,32.13
20:52:05,server_8,34.97,60.84,324.83,184.7,45.59
20:52:10,server_20,55.6,47.49,3448.52,3302.05,1993.33
20:52:10,server_19,20.87,30.2,247.07,165.39,0.0
20:52:10,server_18,91.8,81.72,831.1,1238.25,98.19
20:52:10,server_17,6.41,83.3,57.89,79.74,41.86
20:52:10,server_16,44.39,45.05,515.74,471.38,0.0
20:52:10,server_14,86.96,5.25,816.78,958.0,0.0
20:52:10,server_13,97.38,97.9,974.09,840.64,147.33
20:52:10,server_12,49.68,68.57,3818.37,4542.21,1478.28
20:52:10,server_11,36.29,45.87,324.02,239.87,132.24
20:52:10,server_15,73.91,51.41,19152.5,18883.26,3.95
20:52:10,server_9,53.35,36.78,493.14,411.16,0.0
20:52:10,server_2,8.22,92.23,83.31,71.49,87.42
20:52:10,server_3,96.96,99.01,854.27,733.55,93.67
